snt_id,sdr,sdr_i,si-snr,si-snr_i
1188-133604-0031_5142-33396-0054.wav,21.376148223876953,21.28540802001953,20.833301544189453,20.920366287231445
1188-133604-0032_8224-274384-0000.wav,19.328990936279297,19.25690269470215,19.06446647644043,19.075637817382812
1188-133604-0033_7127-75947-0027.wav,21.255111694335938,21.159090042114258,20.99654197692871,20.967449188232422
1188-133604-0036_2961-960-0007.wav,19.919458389282227,19.888750076293945,19.523319244384766,19.73737907409668
1188-133604-0036_4507-16021-0015.wav,23.341651916503906,23.194995880126953,22.891456604003906,22.97626495361328
1188-133604-0038_1995-1837-0012.wav,23.412029266357422,23.281641006469727,23.17401885986328,23.115535736083984
1188-133604-0038_5142-33396-0043.wav,23.51227569580078,23.46154022216797,23.18461036682129,23.242177963256836
1188-133604-0038_61-70970-0012.wav,18.259510040283203,18.045501708984375,17.164243698120117,17.112648010253906
1188-133604-0040_2094-142345-0057.wav,19.357929229736328,19.153711318969727,18.15461540222168,18.171154022216797
1188-133604-0040_4970-29093-0002.wav,19.527385711669922,19.069412231445312,18.905956268310547,18.874164581298828
1188-133604-0041_61-70968-0003.wav,18.747589111328125,18.536375045776367,18.41939926147461,18.34624671936035
121-121726-0000_3570-5694-0022.wav,23.61225128173828,23.412757873535156,23.175933837890625,23.092529296875
